"Canada - Admissions of Permanent Residents by Country of Citizenship (Q1-Q2 2016 ranking), 1980 - Q2 2016*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Citizenship,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Q1-Q2 2016
Philippines," 6,051 "," 5,921 "," 5,249 "," 4,562 "," 3,801 "," 3,150 "," 4,166 "," 7,360 "," 8,639 "," 11,865 "," 12,509 "," 12,718 "," 13,670 "," 20,479 "," 19,532 "," 15,864 "," 13,692 "," 11,549 "," 8,735 "," 9,734 ","10,731","13,833","11,705","12,759","14,003","18,137","18,400","19,833","24,884","28,572","38,614","36,759","34,301","29,532","40,032","50,846","25,064"
India," 8,880 "," 8,670 "," 8,148 "," 7,338 "," 5,704 "," 4,211 "," 7,151 "," 10,189 "," 11,522 "," 10,343 "," 12,041 "," 13,733 "," 13,673 "," 21,496 "," 18,620 "," 18,488 "," 23,859 "," 22,268 "," 17,241 "," 18,974 ","28,535","31,204","31,894","27,135","28,199","36,179","33,773","28,731","28,257","29,452","34,226","27,488","30,920","33,078","38,330","39,530","24,602"
Syria, 315 , 419 , 409 , 269 , 264 , 385 , 493 , 927 , 864 ," 1,454 "," 1,791 "," 1,596 "," 1,172 "," 1,247 ", 965 ," 1,053 ", 942 , 859 , 892 , 823 ,923,"1,066",957,"1,083","1,116","1,458","1,145","1,056",919,917,"1,040","1,005",649,"1,008","2,051","9,853","23,430"
"China, People's Republic of"," 5,123 "," 6,682 "," 3,308 "," 1,863 "," 1,527 "," 1,816 "," 1,960 "," 2,643 "," 2,758 "," 4,323 "," 8,076 "," 14,255 "," 10,846 "," 9,817 "," 13,128 "," 14,398 "," 19,415 "," 20,475 "," 21,049 "," 30,069 ","35,499","36,420","31,924","36,406","36,568","42,568","33,493","27,630","30,031","29,622","30,381","28,491","33,011","34,115","24,626","19,533","14,499"
Pakistan, 978 , 972 ," 1,201 ", 900 , 668 , 514 , 691 ," 1,072 "," 1,334 "," 2,261 "," 2,470 "," 3,079 "," 4,071 "," 4,777 "," 4,666 "," 4,994 "," 9,125 "," 13,073 "," 9,068 "," 9,979 ","15,395","16,705","15,092","13,204","13,399","14,314","13,128","10,123","8,984","7,215","6,812","7,467","11,208","12,611","9,113","11,330","6,488"
United States of America," 9,378 "," 10,030 "," 9,074 "," 7,100 "," 6,661 "," 6,543 "," 7,074 "," 7,705 "," 6,469 "," 6,790 "," 5,892 "," 6,054 "," 6,842 "," 7,435 "," 5,901 "," 4,890 "," 5,515 "," 4,753 "," 4,437 "," 5,196 ","5,429","5,602","4,949","5,543","6,994","8,392","9,612","9,460","10,187","8,995","8,142","7,674","7,870","8,486","8,491","7,522","4,764"
Iran," 1,172 "," 1,429 "," 1,822 "," 1,592 "," 1,977 "," 1,648 "," 1,794 "," 2,989 "," 3,273 "," 3,781 "," 3,655 "," 6,250 "," 6,814 "," 3,959 "," 2,785 "," 3,956 "," 6,205 "," 7,982 "," 7,057 "," 6,208 ","5,878","6,168","8,122","5,917","6,349","5,837","7,481","6,974","6,474","6,581","7,478","7,479","7,525","11,288","16,772","11,669","4,046"
France," 1,729 "," 2,027 "," 2,219 "," 1,490 "," 1,169 "," 1,177 "," 1,298 "," 1,658 "," 2,038 "," 2,332 "," 2,177 "," 2,911 "," 3,487 "," 3,709 "," 2,759 "," 3,332 "," 2,623 "," 2,473 "," 3,214 "," 3,343 ","3,763","3,805","3,464","3,565","4,392","4,429","3,999","4,289","4,532","5,051","4,648","4,080","6,271","5,623","4,716","5,807","3,805"
United Kingdom and Colonies," 22,045 "," 24,796 "," 20,620 "," 10,015 "," 10,170 "," 9,564 "," 9,470 "," 21,337 "," 27,359 "," 23,795 "," 31,668 "," 23,369 "," 34,123 "," 33,719 "," 39,231 "," 30,145 "," 29,322 "," 22,965 "," 10,367 "," 7,045 ","8,827","11,696","8,038","6,788","7,524","7,253","7,136","8,213","8,976","8,872","8,719","6,128","6,172","5,814","5,758","5,451","3,465"
Nigeria, 81 , 60 , 58 , 58 , 78 , 78 , 114 , 149 , 122 , 195 , 181 , 281 , 498 , 428 , 323 , 430 , 531 , 657 , 757 , 966 ,"1,181","1,426","1,403","1,065","1,519","2,236","2,593","2,371","2,108","3,156","3,907","3,102","3,441","4,171","4,160","4,133","2,492"
"Korea, Republic of"," 1,011 "," 1,456 "," 1,572 "," 1,081 ", 847 , 962 ," 1,208 "," 2,338 "," 2,805 "," 2,979 "," 2,087 "," 2,598 "," 3,790 "," 3,819 "," 3,005 "," 3,501 "," 3,250 "," 4,093 "," 4,938 "," 7,108 ","7,615","9,612","7,323","7,110","5,348","5,826","6,210","5,912","7,291","5,874","5,537","4,588","5,315","4,509","4,458","4,091","2,488"
Mexico, 409 , 394 , 491 , 490 , 509 , 425 , 667 , 813 , 916 ," 1,017 "," 1,193 "," 1,134 "," 1,189 "," 1,139 ", 776 , 758 ," 1,234 "," 1,689 "," 1,379 "," 1,679 ","1,653","1,939","1,894","1,754","2,257","2,837","2,844","3,240","2,854","3,092","3,862","3,948","4,227","3,995","4,477","3,231","1,998"
Eritrea, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 33 , 58 , 100 , 80 , 77 , 79 ,154,221,172,262,414,528,699,699,797,903,931,"1,182","1,335","1,719","1,974","2,171","1,994"
Ukraine, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 103 , 761 ," 1,289 "," 1,751 "," 2,684 "," 2,518 "," 2,702 "," 2,836 ","3,345","3,513","3,515","2,757","2,431","2,269","1,970","2,218","1,935","2,364","3,159","2,516","2,263","2,484","2,539","2,378","1,851"
Bangladesh, 83 , 84 , 86 , 81 , 98 , 92 , 486 , 503 , 476 , 387 , 611 ," 1,115 "," 1,655 "," 1,280 "," 1,361 "," 2,042 "," 2,824 "," 3,378 "," 2,202 "," 2,064 ","3,117","3,832","2,944","2,138","2,660","4,171","4,012","2,897","2,939","2,106","4,721","2,694","2,634","3,792","2,233","3,304","1,738"
Egypt, 612 , 660 , 755 , 455 , 447 , 348 , 514 ," 1,017 "," 1,085 "," 1,663 "," 2,365 "," 1,860 "," 1,558 "," 1,598 "," 2,375 "," 2,821 "," 2,561 "," 2,137 "," 1,387 "," 1,378 ","1,640","2,594","2,041","2,237","2,393","2,495","2,190","2,355","3,347","3,495","5,984","4,663","5,550","4,165","3,159","3,763","1,717"
Jamaica," 3,198 "," 2,634 "," 2,661 "," 2,455 "," 2,508 "," 2,938 "," 4,649 "," 5,415 "," 3,924 "," 3,946 "," 4,945 "," 5,056 "," 5,991 "," 6,065 "," 3,913 "," 3,619 "," 3,282 "," 2,847 "," 2,253 "," 2,358 ","2,477","2,834","2,520","2,054","2,237","1,945","1,722","2,141","2,334","2,457","2,321","2,059","2,174","2,480","3,050","3,426","1,651"
Haiti," 1,666 "," 3,692 "," 3,498 "," 2,860 "," 1,418 "," 1,321 "," 1,753 "," 2,132 "," 1,829 "," 2,377 "," 2,379 "," 2,829 "," 2,399 "," 3,655 "," 2,100 "," 2,014 "," 1,955 "," 1,645 "," 1,295 "," 1,439 ","1,628","2,433","2,172","1,929","1,652","1,681","1,619","1,598","2,488","2,079","4,733","6,476","5,856","4,147","3,315","2,727","1,646"
Iraq, 262 , 245 , 260 , 380 , 428 , 231 , 265 , 384 , 619 , 911 , 557 ," 1,013 "," 1,498 "," 2,103 "," 1,500 "," 2,034 "," 2,675 "," 2,564 "," 2,037 "," 2,159 ","2,589","2,818","2,433","1,513","1,796","2,226","1,788","2,406","3,543","5,452","5,941","6,196","4,036","4,912","3,894","3,980","1,482"
